voice,unit_name,favorite,guild_id,catch_copy,unit_id,voice_id,race,age,blood_type,guild,weight,birth_day,self_text,birth_month,height
前田佳织里,可璃亚（夏日）,制作点心、照顾花卉、拉小提琴,20,背负着无法抹去的罪孽的黑翼圣女,135301,0,人族,13,O,幻变少女,42,1,,11,147
立花日菜,银莲（夏日）,花卉养护、拔刺,,身缠孤绝香气的花之妖魔人,135401,0,妖魔人,13,A,？？？,39,2,,4,145
松冈由贵,艾拉,助人为乐、逛街、品鉴麦酒,,在太阳与热沙之国祈愿未来的炽热笑颜,135501,0,兽人族,??,?,？？？,??,27,,3,162
皆川纯子,诗夏,保养武器、冥想、钓鱼,,在曙光与翠岚之国中守护未来的沉默剑豪,135601,0,魔族,??,?,？？？,??,9,,2,167
佐藤聪美,妮侬（夏日）,忍术开发,15,请给我讲讲东国的神秘吧！,137101,0,人族,16,O,纯白之翼　兰德索尔分部,51,31,寿司、艺伎、天妇罗……\n哈唔～\n东国的文化真棒！,8,163
桥本环奈,环奈,尝遍美食、看漫画,,性格开朗，热爱美食的新晋女演员,170101,0,人类,14,AB,？？？,？？,3,,2,152
桥本环奈,环奈（振袖）,尝遍美食、看漫画,,性格开朗，热爱美食的新晋女演员,170201,0,人类,14,AB,？？？,？？,3,,2,152
东山奈央,日和莉（公主）,帮助别人、应援,2,最喜欢帮助他人！　积极向上的格斗女孩,180101,0,兽人族,16,A,破晓之星,44,27,你好！　我是日和莉！\n如果有人遇到困难，我就会去帮忙！\n不介意的话，和我一起去吧？,8,155
种田梨沙,优衣（公主）,料理、观察人类,2,擅长战斗支援的善良少女,180201,0,人类,17,O,破晓之星,47,5,虽然不知道能不能派上用场……\n不过我也会努力\n支援大家的！,4,158
早见沙织,怜（公主）,读书、骑马、喝茶,2,冷酷，对凡事都很直率的剑士,180301,0,魔族,18,B,破晓之星,46,12,能与你相遇也是一种缘分\n作为一起朝塔顶进发的同伴\n加油吧。请多指教。,1,163
M·A·O,佩可莉姆（公主）,边走边吃、料理,1,肚子非常容易饿，充满活力的少女,180401,0,人类,17,O,美食殿堂,46,31,那、那个……有没有什么吃的？\n肚子饿扁了……,3,156
伊藤美来,可可萝（公主）,冥想、动植物的养育,1,仰慕主人的小小引导者,180501,0,精灵,11,B,美食殿堂,35,11,我是主人的引导者\n我会诚心诚意地恪尽职守，\n让主人满意的,5,140
立花理香,凯露（公主）,和猫玩耍,1,倒在路边的神秘猫耳魔法师,180601,0,兽人族,14,A,美食殿堂,39,2,干嘛磨磨蹭蹭的\n真没办法，我来帮你吧\n听好了？　要感谢我喔！,9,152
大桥彩香、小清水亚美,初音＆栞,两人一起去野餐,500,以信赖与爱而连结的姐妹,180701,0,精灵、兽人族,17,-,森林守卫、伊丽莎白牧场,-,-,,-,-
诸星堇、日高里菜、小仓唯,未奏希＆美美＆镜华,大家一起去冒险,5,勇气！　友情！　小小甜心！,180801,0,人族、兽人族、精灵,17,-,小小甜心,-,-,,-,-
松嵜丽、堀江由衣,秋乃＆咲恋,彼此砥砺，共同提高,501,有着崇高友情的一对劲敌,180901,0,人族、精灵,17,-,墨丘利财团、咲恋救济院,-,-,,-,-
日笠阳子、福原绫香,安＆古蕾雅,一起合弹钢琴,,互相许下誓言的两位玛纳利亚的公主,181001,0,人族、半人半龙,17,-,？？？,-,-,,-,-
生天目仁美、阿澄佳奈,静流＆璃乃,宠爱弟弟&依赖哥哥,3,超越真实与谎言的姐妹,181101,0,人族、人族,18,-,拉比林斯,-,-,,-,-
近藤玲奈,雪菲（公主）,读书、伸展,1,丧失记忆的龙族少女,181201,0,龙族,14,B,美食殿堂,???,14,,12,147
-,骷髅老爸,-,,最喜欢美女和女儿♪　不正经的骷髅头男人,427101,0,-,-,-,-,-,-,,-,-
东山奈央,日和莉,帮助别人、应援,2,最喜欢帮助他人！　积极向上的格斗女孩,900103,0,兽人族,16,A,破晓之星,44,27,你好！　我是日和莉！\n如果有人遇到困难，我就会去帮忙！\n不介意的话，和我一起去吧？,8,155
藤田茜,祈梨,游戏,17,伶牙俐齿的胆小龙族,906601,0,龙族,13,AB,龙族据点,???,29,,9,145
早见沙织,怜（星幽）,读书、骑马、喝茶,17,冷酷，对凡事都很直率的剑士,928801,0,魔族,18,B,破晓之星,46,12,能与你相遇也是一种缘分。\n作为一起朝塔顶进发的同伴\n加油吧。请多指教。,1,163
